id,reference,prediction,wer,cer,audio_duration
17,mövcud bütün resurslardan bir qurumun funksional departamentlərində effektiv bir şəkildə istifadə olunursa yaradıcılıq və ustalıq ortaya çıxa bilər,mövcud bütün üres üçlardan biri grumun funkisyanal də partmətlərin defəkdi bir şəkildə istifade olunursa yaradıçılık vebustanı konfəyə çıqlər,0.8333,0.2653,12.54
18,tələbələr bloqlardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər teztez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər oravec 2002,tələbələ bulgularda uluvlu istifadə edən dək analaltik və təngədi pazarıklar mökəmləndirə bine təsdiz intənet matriyalarının müraicət edip başkalarının yazınlar rə əsaslə bilmövi bir ortaya koya həmçəm sümövüslarda üz perspektiblənin müəyəndirləmdir,0.9697,0.3431,22.2
19,afrikadan daha çox ərəb ruhunun hiss olunduğu bu şəhər ölkənin digər şəhərləri ilə tamamilə ziddiyyət təşkil edir,afrika dundalçox əre pruhunui saunlu ubuşəər öykanindi gəşəllələlələ tahmamilə ziddə təşilədir,1.0,0.3717,7.44
20,bura britaniya kolonistlərinin mənimsədikləri yerdir buna görə də əgər bölgənin müstəmləkə tarixi ilə əlaqəli bir dəlil axtarırsınızsa buradan başlaya bilərsiniz,bura britanya qalanislərinin məlimsədikləri yeridir bu an görədə acər böygənin müstəmləkiə tarək iləllə qəli bilidəriədə aktarırsınızı bu radan başlayı bilərisiniz,0.95,0.205,9.84
21,abşın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu teztez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir,abışın qiyoloji hətmədlər bir olsun asırılı qəhəyətində ve ariz olaşlatının flaxdaq şəhərində yerlə şəhşim həli ariz olomestətindən olan güləm qışən yədəyine görə onların termal hərəkəpləri yeri plantəndən ki ki faya qədər davamı tempraturə təsizdə ki səkdəy,0.913,0.5013,31.86
22,əyləncəli xəbərlər vebsaytı tmz fotoqrafın öz avtomobilini sepulveda bulvarının digər tərəfində saxladığını yolu keçib davam etməzdən əvvəl polis məntəqəsinin şəkillərini çəkməyə çalışdığını nəticədə kaliforniya dövlət yol patrul xidmətinin polis zabitinin ona geri qayıtmalı olduğunu söyləmək üçün yol hərəkətini iki dəfə dayandırdığını başa düşür,eləncələ qəbələ qəbələ qəbəb sət tmz fotoq rətvan öz ahduma birni sapul və da bu numarın nə digər tərəkələ səqlə də qətəb də qətəb dəbət bitmezdənə məl polis mətə qəsən şəkilələn sək məyət səvışdaqını nə,0.9767,0.6954,30.54
23,bu halda bizə yalnız yeni bir ixtiradan sonra klaviaturanın nəyə yarayacağını təxmin etmək qalır,bu halda bize yalnız yeni bir ixtradan sonra qabiyatur olunlə el yananın sarnı təkmin etmək qalur,0.6429,0.2604,10.26
24,qərbi avropa həyat tərzini orta əsrlərin sonlarında təkmilləşdirməyə başladı dövrün ən böyük yeniliklərindən biri də səlib yürüşləri nəticəsində insanların paltarlarını bağlamaq üçün düymələrdən istifadə etməyə başlaması idi,qərbi avropa hət tərzini ortasilları sovarlındı təşmin iləştirimi başladı dövrün enbüyü yeni ilərnə bilidə selib yürüşlər nəcəsinlə insanların paltallarını bağlamoxyn düğmələrdən istuaadətimi başlamasıydı,0.7778,0.2545,13.98
25,onun sonradan köçürüldüyü addenbruk xəstəxanası kembricdə idi,onun soradan çözürüllüyü addən bu kəstəkana səyəkən bribdiyəli,1.0,0.3607,5.28
26,bölgələrin bəzilərində suyu 1 dəqiqə qaynatmaq yetərli olsa da digərlərində bu bir neçə dəqiqə çəkə bilər,böygələrin bəzlərinə suybi dəgə qaynatma və yətəl la usala digələrinə bu bir niçələə qəblər,0.875,0.3143,9.72
27,15 avqust 1940cı ildə müttəfiqlər cənubi fransanı işğal etdilər işğal planının adı draqun əməliyyatı idi,on beş avgıust mindoküz qırkınciyildəmük təfikləkəna bir frans anəşxalək dələr işxal plan adı dərəl qune məliyat vəydə,1.0667,0.5865,12.42
28,xüsusilə də yay aylarında sadə populyar bir axşam yeməyi zeytun yağlı pomidorlu və pendir və ton balığı kimi istənilən ərzaqla doldurulmuş pa amb oli adlanan çörəkdir,süsüyredə yaya aylarında sade paplər bir akşam yemeğiz zeytun yadlə pəmi doluvluvə pəindir və ton baladı kimi istəllən əvzəqlə doldurulmuş pə amp oli adalanan çörekdir,0.6923,0.2289,18.0
29,honkonqun ən yaxşı mənzərəsini görmək üçün adadan çıxın və qarşıdakı kowloon sahilinə gedin,hong kongun en yakışı mənzərəsni görməy üçün adadan sığın və qarqdaki kovlu ol sahilnə gəlim,0.9231,0.2308,6.84
30,romantizm göte fixte və şleqel kimi yazıçılardan alınmış böyük mədəni bir determinizm ünsürünə sahibdir,ramoncizən kötə fiktə vəşləgəqim yalslaran alamış büyük mədəni bir dətərminizmən üsür nə sahəbdir,0.9286,0.3107,7.86
31,tələbələr bloqlardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər teztez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər oravec 2002,tələbələr bu okulardından uvbul istifadi edək analaltik və təngidib acarıkların mürkümləndirə bilər təsdisk intrinət matriyallarına müraqət edim başkalanın yansılın əsasında bir müvbi ortaya boya herşirə hüsüsüsüslardır üspres bekdirlələni məyəni də bilərdir,0.8485,0.3467,22.26
32,şiddətli küləklər dolu həddən artıq yağış və meşə yanğınları fırtına tufan su burulğanları və qasırğalar kimi ağır hava şəraitinin təsirlərinin təzahür formasıdır,şiddətli küdəkləri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri dələri d,1.1364,0.8086,15.96
33,unesco dünya maddi irs siyahısına daxil edilən və hindistan ərazisində olan sundarban meşəliyi sundarban milli parkı olaraq adlandırıldı,ünəskol üniyomati irsiya sına daha həl etləl və hindislən ərazisində olan sun dərbən məşəliyi sun dərbən millilə parqı olarak adlandırdı,0.9444,0.2721,16.02
34,kasablanka bütün mərakeşdə alışveriş etmək üçün ən cazib yerlərdən biridir,kasabalarqa bütün möraq keşti alışveriş etmək üçün enzazib yerlərdə biridir,0.6,0.1622,11.22
35,jurnalistlər şübhəlilərin fotoşəkillərini və onlar haqqındakı başqa məlumatları yayarkən təhlükəli sularda üzür deyə dandi universitetinin professoru pamela ferquson bildirib,ücburnorislə üç bələrin fodaşəkirlərini və onlar hakkındaki başka məlmısları yaya yərqən tərükəli slorda üzür dəyə dandı ün vəsdətim prafəs sorup bəmin affərbəslan bildirib,1.0,0.3333,14.46
36,məhəmməd dünyəvi məsələlərə aid olmayan mövzulara da dərin maraq göstərirdi o düşünmək üçün nur dağındakı hira adlanan mağaraya çox sıx gələrdi,mahemmət dünyav məsələrə edə onlə məslərtə dərin marak çösterəridi oduşymə üçün nur davandə ki hiir adlanan makaraya çox sıkkələridi,0.8095,0.3287,9.3
37,sundarban 1966cı ildən bəri vəhşi təbiət qoruğudur ərazidə indi 400 benqal pələnginin və təxminən 30 000 xallı maralın olduğu hesab edilir,sundırban mindokuz atmış altınışı ildənvəre vəşi təbiyat boruklundur arazıda indi dört yüz bengal pələngirəni və təhminən otuzmin qallı maralım olduğu hesab edilir,0.8571,0.4203,15.48
38,honkonqun siluetini yaradan binaların düzülüşünü viktoria limanının suları ilə ortaya çıxan cazibədar parıltılı bir histoqram ilə müqayisə etmək olar,hong kong usluyətini yaradan binaldan özürüşünü üiktorə limanının suara ilə ortaya çıramcaz bədər paraltıla bir histogramiyinə müqarəsətməq olar,0.7368,0.2416,13.5
39,hər hansı bir məktəb ekskursiyasını virtual olaraq paylaşmaq bu ekskursiyanı əks etdirmək və gələcək dərslərdə təcrübələrimizi bölüşmək üçün əla yoldur,heransı bir məşləbək qususasını vəri dolura palafmak bu ekskursana əkşəttirəməvvə jə tərşətərcibərimizi bölüşməşən əla yoldur,0.8,0.3709,8.4
40,qrenlandiyada əhali seyrək yerləşib norveç dastanlarında deyilir ki kürən erik adam öldürdüyü üçün islandiyadan sürgün edilərkən qərbə doğru yol alır və burada qrenlandiyanı kəşf edərək onu belə adlandırır,grınlan diyada hali səyrak yerləşib norvç dastanlarınla dəyilir ki kürən elik adam öldürdü üçün islan diyadan sürgün edilərkən qərəbe doğru yol alır və purada grınlan diyanın kəşvələrək onu beladlandırır,0.6429,0.1268,19.38
41,anqel 2006 izah edir ki bütöv mühit yanaşmasından şirkətlərin işini daha yüksək səviyyəyə çatdırmasına kömək edəcək bir metod kimi istifadə olunur,anlın gelikəmin aldıyı zəh edilə ki bütün mühid yanaşmasından şiricatların işni daha yüksefsəvvəyə çatırmasına köməyədə cə bir mətləkimiz tfad olunur,0.8095,0.3493,10.32
42,italyan dili əyalətdə işləyənlərin əksəriyyəti tərəfindən gündəlik istifadə olunan dildir latın dili isə adətən dini mərasimlərdə istifadə olunur,italyan dili əyələtdə işlələkisələtə tərəfindən qümdər qistifad olunundildir lətandiliyə iə adətən dinimi arasımlərdə istifad olunur,0.7222,0.2414,11.88
43,alimlər bu qənaətə gəldilər ki qaranlıq materiyanın digərinə təsiri adi materiyanın eyni formada göstərdiyi təsir kimidir,alimlər bugənəətəcələr ki qaranlık məsəriyanın dəcər nətəsəriə adə məsəriyanın ene formada göstərdiyi təsirik müdür,0.75,0.2314,8.64
44,yanğın 2335ə qədər yanğından mühafizə bölmələri tərəfindən söndürüldü,yalın ilmiş otus beşə qadəri yalınam havizə bölümələr tərəfminlə səndürildüm,1.25,0.4783,9.6
45,pələngin nəriltisi şirin gur səslə çıxardığı nəriltiyə bənzəmir daha çox xırıltılı və cingiltili səslənən sözlər kimi eşidilir,pələngin nəreldice şirinqlusasləsqardı nəreldiye bənzəmir dəhçuh qraldırı və cingirtili saslənən sözləricimişlidir,0.8235,0.2937,8.28
46,internet həm kütləvi həm də fərdlərarası kommunikasiya elementlərini özündə birləşdirir,intinə təmqükləmə hemdəf tərdə ağası kaminin kasi iləmədiləni özümdə bir nəştirir,1.1,0.4023,10.38
47,daha əvvəllər iqtisadi baxımdan əlverişli və funksional olduğu üçün dünya miqyasında bazara çıxarılan asus eee kompüteri 2007ci ilin taipei it ayının əsas mövzusu idi,dahaə bələ ilxadi bakalımlən elvəlişli bə funxana olduğu için dünyamayı yasimlə pazara çıvələn asus ə qambüsirə ki bin yətdinci ilin tipe əti əinən əsas mürüsüsü səl idi,0.9167,0.4759,19.5
48,perri bu axşamkı partiya iclasının nəticələrini dəyərləndirmək və bu yarışda məni irəli aparan bir yol müəyyənləşdirmək üçün texasa qayıdacam dedi lakin daha sonra o rəqabətə davam edəcəyini və 21 yanvarda cənubi karolina ön seçmələrində yarışacağını bildirdi,pəyri bu akşam çıparçı izlasının nəçələrini değerlendirməy və bu yarışda məni yerələrə param bir yolmələştirmə çıhasa qayda camdədi ləkindal sonra regabədi davum edəcəyini və bir ilin bir yam borta cənaubi kararlı yınat ön seçmələndə yarışa calgı bildirdi,0.8056,0.3359,17.16
49,bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır,bu tapon təvə emni quşlələklərinin tekiamili həklətlətləsəviriyaradır,0.9,0.3913,6.78
