id,reference,prediction,wer,cer,audio_duration
18,tələbələr bloqlardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər teztez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər oravec 2002,tələbələr bloglarda uqqun istifadə edən bəq anatik və tənqidi bacarıqları müəqəmləndirə bilər testiz internet materiallarını müraycət edib başqalarının yazılıları əsaslığında bir mögü ortaya koyu həmçin qususi mövzularda öz perspektivlərini müəyyən edə biləmlər,0.5758,0.1715,22.2
19,afrikadan daha çox ərəb ruhunun hiss olunduğu bu şəhər ölkənin digər şəhərləri ilə tamamilə ziddiyyət təşkil edir,afrikadın daha çox ərup ruhunun soyunduğu bu şəhər ölkənin digər şəhərləli ilə tamamilə ziddət dəşilədir,0.4706,0.1416,7.44
20,bura britaniya kolonistlərinin mənimsədikləri yerdir buna görə də əgər bölgənin müstəmləkə tarixi ilə əlaqəli bir dəlil axtarırsınızsa buradan başlaya bilərsiniz,bura britanya qalaynislərinin mənimsədikləri yeridir buna görə də əcər böygənin müstəmnəki tarixilələ qəlibirli dəril axtarırsınızsa buradan başlayabilirsiniz,0.65,0.1366,9.84
21,abşın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu teztez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir,abusun geologi hütmətlər bürosun astrologiyyə həyətindən və arizonaşıtatının flux staff şəhərində yerləşən şimaliarizon universitetindən olan glenn cushin indədədəyində görə onların termal hərəkətləri yer planetindəki kifaya qədər davamlı temperatureı təsizdə hissəkləyən böy,0.7174,0.384,31.86
22,əyləncəli xəbərlər vebsaytı tmz fotoqrafın öz avtomobilini sepulveda bulvarının digər tərəfində saxladığını yolu keçib davam etməzdən əvvəl polis məntəqəsinin şəkillərini çəkməyə çalışdığını nəticədə kaliforniya dövlət yol patrul xidmətinin polis zabitinin ona geri qayıtmalı olduğunu söyləmək üçün yol hərəkətini iki dəfə dayandırdığını başa düşür,eləndcəli xəbələr website tmz fotografin öz automobilini sapul vw varının digər tərəkində saxladığı yolu keçib devam etməzdən əvvəl polis mənətəqəsinin şəkirlərinini çəkməyə çalışdıqını nəticədə kaliforniya növlək yol patrul xidmətinin polis zabitinin onu geri qəytərmalı olduğunu sə,0.6047,0.2759,30.54
23,bu halda bizə yalnız yeni bir ixtiradan sonra klaviaturanın nəyə yarayacağını təxmin etmək qalır,bu halda bize yalnız yeni bir ixtiradan sonra qavya turanın nəyə yananın çarana təqmin etmək qaları,0.5,0.1771,10.26
24,qərbi avropa həyat tərzini orta əsrlərin sonlarında təkmilləşdirməyə başladı dövrün ən böyük yeniliklərindən biri də səlib yürüşləri nəticəsində insanların paltarlarını bağlamaq üçün düymələrdən istifadə etməyə başlaması idi,qəribi avrupa həyət tərzini ortasillərin sonlarında təkmilləşdirməyə başladı dövrün ən böyük yeniliklərinə beli də səlip yürüyüşlər nətçəsində insanların paltarlarını bağlamak üçün tüyumələrdən istuadə etməyə başlaması idi,0.4815,0.0982,13.98
25,onun sonradan köçürüldüyü addenbruk xəstəxanası kembricdə idi,onun sonradan çəsirildi adın bruck xəstəxanası cambridge deyilir,0.7143,0.3607,5.28
26,bölgələrin bəzilərində suyu 1 dəqiqə qaynatmaq yetərli olsa da digərlərində bu bir neçə dəqiqə çəkə bilər,bölgələrin bəzlərində suyu bir dəyəqə qaynatmağı yetəllə olsala digərlərinə bu bir neçələyə qəcəkə bilər,0.6875,0.1905,9.72
27,15 avqust 1940cı ildə müttəfiqlər cənubi fransanı işğal etdilər işğal planının adı draqun əməliyyatı idi,15 avqust 1940ci ildə müddəfiqlər canıbi fransəni işxalətdilər işxal planın adı dragu nəməliyatı idi,0.6667,0.1635,12.42
28,xüsusilə də yay aylarında sadə populyar bir axşam yeməyi zeytun yağlı pomidorlu və pendir və ton balığı kimi istənilən ərzaqla doldurulmuş pa amb oli adlanan çörəkdir,hüsüsirə də yay aylarında sada popüler bir akşam yemeğe zeytun yağlı pavidovlı və pendir və tombalıbı kimi islənlən əvzakla doldurulmuş paamboli adalanan çörekdir,0.5769,0.1566,18.0
29,honkonqun ən yaxşı mənzərəsini görmək üçün adadan çıxın və qarşıdakı kowloon sahilinə gedin,hong kongun ən yaxşı mənzərəsini görmək üçün adadan çıxın və qarşıdaki cobblon sahilinə gəlin,0.3846,0.1099,6.84
30,romantizm göte fixte və şleqel kimi yazıçılardan alınmış böyük mədəni bir determinizm ünsürünə sahibdir,ramancizin kötü fikti və şiləyə gəlkim yazıların alınmış böyük mədəni bir dətəriminizmən ünsürünə səhəbdir,0.5714,0.2718,7.86
31,tələbələr bloqlardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər teztez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər oravec 2002,tələbələr bloglardan uygul istifadə edərək analitik və tənqi idi bacarıqları mühəmləndirə bilər testis internet materiallarına mürajet edib başqalarının yazılıqlı əsasında bir mövqə ortaya koyar hər cəni xüsus mövzuları da öz prəsbəklirlərini müəyyən edə bilərlər,0.5758,0.1715,22.26
32,şiddətli küləklər dolu həddən artıq yağış və meşə yanğınları fırtına tufan su burulğanları və qasırğalar kimi ağır hava şəraitinin təsirlərinin təzahür formasıdır,şiddətli küləklər dolu ətdən oda qəqış və müşəyə yağınları fırtına tufan su burulqanları və qasırqalar kimə ağır hava şərafiyin təsirlərin təzahürı formasıdır,0.5,0.142,15.96
33,unesco dünya maddi irs siyahısına daxil edilən və hindistan ərazisində olan sundarban meşəliyi sundarban milli parkı olaraq adlandırıldı,yinesko dünya məhdi irsiyasına daxil edilər və hindistan ərazisində olan sundarban mişaliyyə sundarban millifarkı olaraq adlandırdı,0.5,0.1324,16.02
34,kasablanka bütün mərakeşdə alışveriş etmək üçün ən cazib yerlərdən biridir,kasabalanqa bütün mərakəşdə alışveriş etmək üçün ən zazib yerlərdən biridir,0.3,0.0541,11.22
35,jurnalistlər şübhəlilərin fotoşəkillərini və onlar haqqındakı başqa məlumatları yayarkən təhlükəli sularda üzür deyə dandi universitetinin professoru pamela ferquson bildirib,jurnalistlər şüphəllərin fotoşəkiləri və onlar haqqındaki başqa müəllumuqları yayarken tervikəli sularda üzür deyə dandi universitetin profesoru pamela ferguson bildirib,0.4737,0.1092,14.46
36,məhəmməd dünyəvi məsələlərə aid olmayan mövzulara da dərin maraq göstərirdi o düşünmək üçün nur dağındakı hira adlanan mağaraya çox sıx gələrdi,məhəmət dünyəvi məsələ raid olmaya mözlardır da daha dərin maraq göstərirdi o düşünmək üçün nurdağındakı hir adlanan maqaraya çox sıkkələrdir,0.5714,0.1608,9.3
37,sundarban 1966cı ildən bəri vəhşi təbiət qoruğudur ərazidə indi 400 benqal pələnginin və təxminən 30 000 xallı maralın olduğu hesab edilir,sundırban 1966ı şey ildən bəri vəşri təbiyyət qorubmudur arazilə indi 400 bengal peləngirin və təxminən 30000 xalılın maralımı olduğu hesab edilir,0.619,0.1594,15.48
38,honkonqun siluetini yaradan binaların düzülüşünü viktoria limanının suları ilə ortaya çıxan cazibədar parıltılı bir histoqram ilə müqayisə etmək olar,hong kongun silüvətini yaradan binaların üzülüşünü victoria limanının suları ilə ortaya çıxınca azbədər paralıdılı bir istogramiyyələ müqayisə etmək yolar,0.5789,0.1611,13.5
39,hər hansı bir məktəb ekskursiyasını virtual olaraq paylaşmaq bu ekskursiyanı əks etdirmək və gələcək dərslərdə təcrübələrimizi bölüşmək üçün əla yoldur,hər hansı bir məkləb ekskursiyasını virtual olarak paylaşmaq bu ekskursiyanı əksətdirimi və gələcət dərslərdə tərcibəlimizi bölüşmək üçün əla yoldur,0.3,0.0861,8.4
40,qrenlandiyada əhali seyrək yerləşib norveç dastanlarında deyilir ki kürən erik adam öldürdüyü üçün islandiyadan sürgün edilərkən qərbə doğru yol alır və burada qrenlandiyanı kəşf edərək onu belə adlandırır,grinlandiya da həalə seyrək iləşib norveç dastanlarında deyilir ki küren erik adam öldürdüyü üçün islandiyadan sürgün edilərkən qərabə doğru yol alır və burada grinlandiya nın keşfədərək onu belə adlandırır,0.3214,0.0878,19.38
41,anqel 2006 izah edir ki bütöv mühit yanaşmasından şirkətlərin işini daha yüksək səviyyəyə çatdırmasına kömək edəcək bir metod kimi istifadə olunur,angel kimin altı izah edir ki bütün mühit yanaşmasından şirketlərin işini daha yüksə səvviyyə çatdırmasına köməyə edəcə bir metod kim istifad olunur,0.5238,0.1575,10.32
42,italyan dili əyalətdə işləyənlərin əksəriyyəti tərəfindən gündəlik istifadə olunan dildir latın dili isə adətən dini mərasimlərdə istifadə olunur,italya ndilə əyalətdə işləyənlək siriyyəti tərəfindən günlərik istifadə olunan dildir latın dilə isə adətən deyini mərhasımlərdə istifadə olunur,0.4444,0.1103,11.88
43,alimlər bu qənaətə gəldilər ki qaranlıq materiyanın digərinə təsiri adi materiyanın eyni formada göstərdiyi təsir kimidir,alimlər büqənəətə gəldirlər ki qaranlıq materiyanın digərlə təsiri adi materiyanın eyni formada göstərdiyi təsiri kimidir,0.3125,0.0579,8.64
44,yanğın 2335ə qədər yanğından mühafizə bölmələri tərəfindən söndürüldü,yağın 2335 ə qədər yağında mühavizə bölmələri tərəfindən söndürüldü,0.625,0.0725,9.6
45,pələngin nəriltisi şirin gur səslə çıxardığı nəriltiyə bənzəmir daha çox xırıltılı və cingiltili səslənən sözlər kimi eşidilir,pələngin nərildisi şirinqlür səsləsi xardığı nərildəyə bənzəmir daha çox xırıldırı və cincirtili səslənən sözlər kiməşlilir,0.5882,0.1429,8.28
46,internet həm kütləvi həm də fərdlərarası kommunikasiya elementlərini özündə birləşdirir,internet həm kütləvi həm də fərdə agaslı kommunikasi eləmətlərini özündə bilinəşdirir,0.5,0.1379,10.38
47,daha əvvəllər iqtisadi baxımdan əlverişli və funksional olduğu üçün dünya miqyasında bazara çıxarılan asus eee kompüteri 2007ci ilin taipei it ayının əsas mövzusu idi,daha əvvələr iktisadi baxamdan əlverişli və funksiyonal olduğu üçün dünya mediyasında bazara çığarlan asuse kampüttürü 2007ci ilin typeit inın əsas məhsusu idi,0.5417,0.1566,19.5
48,perri bu axşamkı partiya iclasının nəticələrini dəyərləndirmək və bu yarışda məni irəli aparan bir yol müəyyənləşdirmək üçün texasa qayıdacam dedi lakin daha sonra o rəqabətə davam edəcəyini və 21 yanvarda cənubi karolina ön seçmələrində yarışacağını bildirdi,pəri bu akşamki parti izlasının nətçələrini dəhirləndirmək və bu yarışda mənə yerlərə param bir yol muəlləşdirmək üçün təxasa qayda cəm dedir lakin daha sonra o rəqabədə davam edəcəyini və bir girin bir yan barda canubi qaralini ön seçmələrində yarışacaqını bildirdirdir,0.6667,0.2085,17.16
49,bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır,bu tapıntı həm də qujlələklərinin təkamülü haqqınını təsəvvür yaratır,0.4,0.087,6.78
